water_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT
1982,-0.909340659340659,-7.53260869565217,5.95108695652174,-12.6672222222222,-3.74876712328767
1983,-3.6978021978022,-8.64673913043478,6.5,-9.775,-3.87328767123288
1984,-2.70879120879121,-7.42934782608696,6.45108695652174,-13.4175824175824,-4.25546448087432
1985,-4,-4.80434782608696,6.79402173913043,-13.1488888888889,-3.73794520547945
1986,-3.95494505494506,-5.60869565217391,6.375,-11.9333333333333,-3.73534246575342
1987,-1.91593406593407,-2.66847826086957,8.44565217391304,-10.1166666666667,-1.51602739726027
1988,0.28021978021978,-4.77173913043478,9.57608695652174,-11.9175824175824,-1.68579234972678
1989,-0.78021978021978,-2.96739130434783,7.52717391304348,-10.9222222222222,-1.73835616438356
1990,-0.521978021978022,-3.73913043478261,8.31521739130435,-11.2333333333333,-1.74657534246575
1991,-0.17032967032967,-4.7445652173913,7.59782608695652,-11.1222222222222,-2.06575342465753
1992,-1.70879120879121,-2.23369565217391,7.39673913043478,-8.63186813186813,-1.27322404371585
1993,-0.868131868131868,-4.28260869565217,6.85869565217391,-10.6888888888889,-2.2027397260274
1994,-3.37362637362637,-2.5054347826087,9.17391304347826,-11.7277777777778,-2.05205479452055
1995,-1.8021978021978,-5.20652173913043,7.79891304347826,-9.19444444444444,-2.06301369863014
1996,-1.27472527472527,-3.85326086956522,8.83152173913044,-10.5384615384615,-1.68579234972678
1997,-1.49450549450549,-4.66847826086957,7.83695652173913,-11.3166666666667,-2.36438356164384
1998,-1.27472527472527,-4.55978260869565,7.29347826086957,-10.7444444444444,-2.27808219178082
1999,-0.368131868131868,-4.53260869565217,7.81521739130435,-10.2222222222222,-1.78493150684932
2000,0.884615384615385,-2.63586956521739,9.10326086956522,-9.48351648351648,-0.512295081967213
2001,-1.71428571428571,-3.625,8.76086956521739,-10.7055555555556,-1.77260273972603
2002,-0.032967032967033,-3.41847826086957,10.2608695652174,-11.0555555555556,-1.00958904109589
2003,-1.75824175824176,-3.30978260869565,8.84239130434783,-9.95,-1.4972602739726
2004,-1.08241758241758,-3.10326086956522,6.27173913043478,-10.7802197802198,-2.15300546448087
2005,-1.57692307692308,-4.08152173913043,7.91847826086957,-8.91666666666667,-1.62465753424658
2006,0.0879120879120879,-3.03260869565217,8.95652173913044,-11.3222222222222,-1.27671232876712
2007,-2.30769230769231,-2.83152173913043,9.38586956521739,-10.4944444444444,-1.51095890410959
2008,0.164835164835165,-5.86413043478261,8.17934782608696,-12.5879120879121,-2.5068306010929
2009,-0.313186813186813,-4.01086956521739,6.90760869565217,-10.4388888888889,-1.92191780821918
2010,-2.36263736263736,-5.42826086956522,8.01630434782609,-12.6072222222222,-3.04534246575342
2011,-1.19945054945055,-4.96739130434783,9.17228260869565,-11.0238888888889,-1.95739726027397
2012,-1.04175824175824,-1.33152173913043,10.5755434782609,-11.478021978022,-0.789207650273224
2013,0.579120879120879,-5.07826086956522,9.47065217391304,-10.7611111111111,-1.40191780821918
2014,0.0857142857142858,-4.09184782608696,8.0445652173913,-10.0133333333333,-1.4513698630137
2015,0.457692307692308,-4.25119565217391,6.37869565217391,-8.555,-1.45909589041096
2016,-1.59868131868132,-6.58402173913043,6.47826086956522,-12.4034065934066,-3.5079781420765
2017,2.26373626373626,-3.7620652173913,8.8804347826087,-10.3797777777778,-0.704904109589041
