year,pet
1982,282.846933825305
1983,246.498694345594
1984,282.688099687998
1985,285.117628813034
1986,260.588225635646
1987,303.937826505826
1988,325.557635331683
1989,304.621740381308
1990,301.312922727651
1991,312.58709889106
1992,312.112268640763
1993,319.523960227611
1994,312.800605716629
1995,261.606152668043
1996,306.964269965363
1997,289.884836717439
1998,294.751579439311
1999,306.836450979628
2000,340.600012340515
2001,313.913778979704
2002,324.843591233005
2003,295.188766537237
2004,303.047701448751
2005,288.274809510549
2006,333.453267014088
2007,293.27582842638
2008,293.288940245738
2009,304.008966860937
2010,271.407553313214
2011,300.965237495611
2012,327.958857961841
2013,308.083243695071
2014,295.586135450245
2015,292.510763403535
2016,274.60314423614
2017,349.162568498159
2018,290.689479167752
