year,GDD
1982,361.385713987175
1983,395.7096685435
1984,400.2946994748
1985,433.865424039389
1986,394.115189993872
1987,645.193267697863
1988,698.126814912277
1989,628.755413201397
1990,705.069951302187
1991,555.875543519719
1992,604.483683058743
1993,381.524923522804
1994,552.697599982759
1995,498.506076966922
1996,593.590164970543
1997,539.388186747291
1998,550.608002300493
1999,502.8735
2000,763.137388303015
2001,773.269849227145
2002,814.147042986588
2003,800.168332569768
2004,609.684199332591
2005,743.854425925926
2006,732.8995
2007,843.807741418976
2008,715.081342239816
2009,631.21
2010,796.00413813676
2011,736.276805291001
2012,923.098
2013,769.6465
2014,695.333
2015,789.803
2016,799.225
2017,765.1605
2018,898.249
